Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0002-ORFBO,female,37,Yes,0,Frazier Park,93225,34.827662,-118.999073,2,270,,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,-0.7444999614321614,-0.24831296685183654,0,381.51,974.81,Stayed,,
0003-MKNFE,male,46,No,0,Glendale,91206,34.162515,-118.203869,0,270,,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,-0.766961859891368,4.60232500768817,10,96.21,610.28,Stayed,,
0004-TLHLJ,male,50,No,0,Costa Mesa,92627,33.645672,-117.922613,0,120,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,-0.8823824795771347,-0.24831296685183654,0,134.6,415.45,Churned,Competitor,Competitor had better devices
0011-IGKFF,male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,390,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,-0.46006348497083144,-0.24831296685183654,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,90,Offer D,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,-0.8883178928242138,-0.24831296685183654,0,22.14,289.54,Churned,Dissatisfaction,Network reliability
0013-MHZWF,female,23,No,3,Midpines,95345,37.581496,-119.972762,0,270,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,-0.7541422498670074,-0.24831296685183654,0,150.93,722.38,Stayed,Dissatisfaction,Network reliability
0013-SMEOE,female,67,Yes,0,Lompoc,93437,34.757477,-120.550507,1,2130,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,2.481783271187434,-0.24831296685183654,0,707.16,8611.41,Stayed,Dissatisfaction,Network reliability
0014-BMAQU,male,52,Yes,0,Napa,94558,38.489789,-122.27011,8,1890,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,1.3668743642667498,-0.24831296685183654,20,816.48,6214.28,Stayed,Dissatisfaction,Network reliability
0015-UOCOJ,female,68,No,0,Simi Valley,93063,34.296813,-118.685703,0,210,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,-0.8561254469971189,-0.24831296685183654,0,73.71,414.06,Stayed,Dissatisfaction,Network reliability
0016-QLJIS,female,43,Yes,1,Sheridan,95681,38.984756,-121.345074,3,1950,Offer E,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,1.6228693995552725,-0.24831296685183654,0,1849.9,7807.8,Stayed,Dissatisfaction,Network reliability
0017-DINOC,male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,1620,Offer E,No,28.46,Yes,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,0.07950750218186144,-0.24831296685183654,0,0.0,2460.55,Stayed,Dissatisfaction,Network reliability
0017-IUDMW,female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,2160,Offer E,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,2.725598573716151,-0.24831296685183654,0,1152.72,9609.47,Stayed,Dissatisfaction,Network reliability
0018-NYROU,female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,150,Offer E,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,-0.8512050114800235,-0.24831296685183654,0,93.25,444.75,Stayed,Dissatisfaction,Network reliability
0019-EFAEP,female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,2160,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,2.1980308014571803,-0.24831296685183654,0,162.0,7423.25,Stayed,Dissatisfaction,Network reliability
0019-GFNTW,female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,1680,Offer A,No,2.25,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,0.12343838610355147,-0.24831296685183654,0,0.0,2560.1,Stayed,Dissatisfaction,Network reliability
0020-INWCK,female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,2130,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,2.016283593590298,-0.24831296685183654,0,1935.46,8784.86,Stayed,Dissatisfaction,Network reliability
0020-JDNXP,female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,1020,Offer A,No,27.26,Yes,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,-0.12673155960419488,-0.24831296685183654,0,0.0,1993.2,Stayed,Dissatisfaction,Network reliability
0021-IKXGC,female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,30,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,-0.9745027409397948,-0.24831296685183654,0,7.77,79.87,Joined,Dissatisfaction,Network reliability
